--Rotas do 1º turno-----------------------------
747 -> 29 (165)
813 -> 568 (87)
874 -> 24 (46)
903 -> 874 (46)
908 -> 747 (165)
Fluxo: 495
Arestas removidas: 140511

--Rotas do 44º turno-----------------------------
24 -> 646 (46)
94 -> 515 (165)
271 -> 459 (87)
272 -> 245 (164)
370 -> 903 (46)
478 -> 370 (46)
515 -> 908 (165)
568 -> 271 (87)
678 -> 272 (136)
747 -> 29 (165)
813 -> 568 (87)
874 -> 24 (46)
903 -> 874 (46)
908 -> 747 (165)
Fluxo: 462
Arestas removidas: 140513

--Rotas do 45º turno-----------------------------
24 -> 646 (46)
94 -> 515 (165)
271 -> 459 (87)
272 -> 245 (136)
370 -> 903 (46)
478 -> 370 (46)
515 -> 908 (165)
568 -> 271 (87)
678 -> 272 (136)
747 -> 29 (165)
813 -> 568 (87)
874 -> 24 (46)
903 -> 874 (46)
908 -> 747 (165)
Fluxo: 434
Arestas removidas: 140513

--Rotas do 46º turno-----------------------------
24 -> 646 (46)
94 -> 515 (165)
271 -> 459 (87)
272 -> 245 (136)
370 -> 903 (46)
478 -> 370 (46)
515 -> 908 (165)
568 -> 271 (87)
678 -> 272 (136)
747 -> 29 (165)
813 -> 568 (87)
874 -> 24 (46)
903 -> 874 (46)
908 -> 747 (165)
Fluxo: 434
Arestas removidas: 140513

--Rotas do 47º turno-----------------------------
24 -> 646 (46)
94 -> 515 (165)
271 -> 459 (87)
272 -> 245 (136)
370 -> 903 (46)
478 -> 370 (46)
515 -> 908 (165)
568 -> 271 (87)
678 -> 272 (136)
747 -> 29 (165)
813 -> 568 (87)
874 -> 24 (46)
903 -> 874 (46)
908 -> 747 (165)
Fluxo: 434
Arestas removidas: 140513

--Rotas do 48º turno-----------------------------
24 -> 646 (46)
94 -> 515 (165)
271 -> 459 (87)
272 -> 245 (136)
370 -> 903 (46)
478 -> 370 (46)
515 -> 908 (165)
568 -> 271 (87)
678 -> 272 (136)
747 -> 29 (165)
813 -> 568 (87)
874 -> 24 (46)
903 -> 874 (46)
908 -> 747 (165)
Fluxo: 434
Arestas removidas: 140513

--Rotas do 49º turno-----------------------------
24 -> 646 (46)
94 -> 515 (165)
271 -> 459 (87)
272 -> 245 (136)
370 -> 903 (46)
478 -> 370 (46)
515 -> 908 (165)
568 -> 271 (87)
678 -> 272 (136)
747 -> 29 (165)
813 -> 568 (87)
874 -> 24 (46)
903 -> 874 (46)
908 -> 747 (165)
Fluxo: 434
Arestas removidas: 140513

--Rotas do 50º turno-----------------------------
24 -> 646 (46)
94 -> 515 (165)
271 -> 459 (87)
272 -> 245 (136)
370 -> 903 (46)
478 -> 370 (46)
515 -> 908 (165)
568 -> 271 (87)
678 -> 272 (136)
747 -> 29 (165)
813 -> 568 (87)
874 -> 24 (46)
903 -> 874 (46)
908 -> 747 (165)
Fluxo: 434
Arestas removidas: 140513

--Rotas do 51º turno-----------------------------
24 -> 646 (46)
94 -> 515 (165)
271 -> 459 (87)
272 -> 245 (136)
370 -> 903 (46)
478 -> 370 (46)
515 -> 908 (165)
568 -> 271 (87)
678 -> 272 (136)
747 -> 29 (165)
813 -> 568 (87)
874 -> 24 (46)
903 -> 874 (46)
908 -> 747 (165)
Fluxo: 434
Arestas removidas: 140513

--Rotas do 52º turno-----------------------------
24 -> 646 (46)
94 -> 515 (165)
271 -> 459 (87)
272 -> 245 (136)
370 -> 903 (46)
478 -> 370 (46)
515 -> 908 (165)
